favorited,utc_offset,description,user_mentions,hashtag,trackback_author_url,geo_enabled,geo,id,lang,favourites_count,firstpost_date,trackback_author_nick,url,retweeted,time_zone,coordinates,content,followers_count,score,place,location,trackback_permalink,retweet_count,listed_count
False,-21600,"Partner and Consumer Advocate for Reliance Factor of Texas, LLC and Reliance Factor of New Mexico, LLC",,camp,http://twitter.com/flgprohemo,False,None,473010591544520705,en,46,06/01/14,flgprohemo,http://twitter.com/flgprohemo/status/473010591544520705,False,Mountain Time (US & Canada),None,"Help raise $5,000 for #camp! Go here and comment ""Camp United Hands."" Only vote once! #hemophilia #bleedingdisorders
http://t.co/Pm4zszQMDM",32,7.736565,None,,http://twitter.com/FLGprohemo/status/473010591544520705,0,0
False,-21600,"Partner and Consumer Advocate for Reliance Factor of Texas, LLC and Reliance Factor of New Mexico, LLC",,hemophilia,http://twitter.com/flgprohemo,False,None,473010591544520705,en,46,06/01/14,flgprohemo,http://twitter.com/flgprohemo/status/473010591544520705,False,Mountain Time (US & Canada),None,"Help raise $5,000 for #camp! Go here and comment ""Camp United Hands."" Only vote once! #hemophilia #bleedingdisorders
http://t.co/Pm4zszQMDM",32,7.736565,None,,http://twitter.com/FLGprohemo/status/473010591544520705,0,0
False,-21600,"Partner and Consumer Advocate for Reliance Factor of Texas, LLC and Reliance Factor of New Mexico, LLC",,bleedingdisorders,http://twitter.com/flgprohemo,False,None,473010591544520705,en,46,06/01/14,flgprohemo,http://twitter.com/flgprohemo/status/473010591544520705,False,Mountain Time (US & Canada),None,"Help raise $5,000 for #camp! Go here and comment ""Camp United Hands."" Only vote once! #hemophilia #bleedingdisorders
http://t.co/Pm4zszQMDM",32,7.736565,None,,http://twitter.com/FLGprohemo/status/473010591544520705,0,0
False,-14400,"NHF is dedicated to finding better treatments/cures for inheritable bleeding disorders & to preventing related complications via education, advocacy & research.",,hemophiliawalk,http://twitter.com/nhf_hemophilia,True,None,473097867465224192,en,156,06/01/14,nhf_hemophilia,http://twitter.com/nhf_hemophilia/status/473097867465224192,False,Eastern Time (US & Canada),None,The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDPH1W,2773,12.703564,None,New York City,http://twitter.com/NHF_Hemophilia/status/473097867465224192,4,94
False,-14400,"NHF is dedicated to finding better treatments/cures for inheritable bleeding disorders & to preventing related complications via education, advocacy & research.",,bleedingdisorders,http://twitter.com/nhf_hemophilia,True,None,473097867465224192,en,156,06/01/14,nhf_hemophilia,http://twitter.com/nhf_hemophilia/status/473097867465224192,False,Eastern Time (US & Canada),None,The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDPH1W,2773,12.703564,None,New York City,http://twitter.com/NHF_Hemophilia/status/473097867465224192,4,94
False,-14400,"Charity Champion. Good News Gal. Food Banker, Yelper, Traveler.  Mama to an awesome young lady and many silly pets.",NHF_Hemophilia,hemophiliawalk,http://twitter.com/charityjen,True,None,473098638768766976,en,350,06/01/14,charityjen,http://twitter.com/charityjen/status/473098638768766976,False,Eastern Time (US & Canada),None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,1330,10.738077,None,"Raleigh, NC",http://twitter.com/CharityJen/status/473098638768766976,4,95
False,-14400,"Charity Champion. Good News Gal. Food Banker, Yelper, Traveler.  Mama to an awesome young lady and many silly pets.",NHF_Hemophilia,bleedingdisorders,http://twitter.com/charityjen,True,None,473098638768766976,en,350,06/01/14,charityjen,http://twitter.com/charityjen/status/473098638768766976,False,Eastern Time (US & Canada),None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,1330,10.738077,None,"Raleigh, NC",http://twitter.com/CharityJen/status/473098638768766976,4,95
False,-14400,"NHF is dedicated to finding better treatments/cures for inheritable bleeding disorders & to preventing related complications via education, advocacy & research.",,hemophiliawalk,http://twitter.com/nhf_hemophilia,True,None,473104448605417472,en,156,06/01/14,nhf_hemophilia,http://twitter.com/nhf_hemophilia/status/473104448605417472,False,Eastern Time (US & Canada),None,Melissa Penn Stengal welcomes everyone to the 9th annual NYC #HemophiliaWalk #bleedingdisorders http://t.co/sCRI5vXfBa,2773,11.532976,None,New York City,http://twitter.com/NHF_Hemophilia/status/473104448605417472,1,94
False,-14400,"NHF is dedicated to finding better treatments/cures for inheritable bleeding disorders & to preventing related complications via education, advocacy & research.",,bleedingdisorders,http://twitter.com/nhf_hemophilia,True,None,473104448605417472,en,156,06/01/14,nhf_hemophilia,http://twitter.com/nhf_hemophilia/status/473104448605417472,False,Eastern Time (US & Canada),None,Melissa Penn Stengal welcomes everyone to the 9th annual NYC #HemophiliaWalk #bleedingdisorders http://t.co/sCRI5vXfBa,2773,11.532976,None,New York City,http://twitter.com/NHF_Hemophilia/status/473104448605417472,1,94
False,None,,NHF_Hemophilia,hemophiliawalk,http://twitter.com/lopez09091960,True,None,473104476266835968,fr,15,06/01/14,lopez09091960,http://twitter.com/lopez09091960/status/473104476266835968,False,None,None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,70,7.521139,None,,http://twitter.com/Lopez09091960/status/473104476266835968,4,1
