hashtags,id,retweeted,coordinates,content,followers_count,score,location,retweet_count,listed_count,favorited,utc_offset,description,user_mentions,trackback_author_url,geo_enabled,geo,lang,favourites_count,firstpost_date,url,time_zone,place,trackback_author_nick,trackback_permalink
Celiac~glutensensitivity~glutenallergy,430804223006359552,False,None,"RT @GlutenFreely: Brief, simple descript of #Celiac, #glutensensitivity &amp; #glutenallergy. Basic knowledge goes a long way! http://t.co/8WNW…",6943,7.7255754,"Minneapolis, MN",10,142,False,-18000,"We're here to prove that living, cooking & eating #glutenfree doesn’t have to be a bore. Visit http://t.co/LSFvptpT58 and http://t.co/mVHQZcqfy2 for GF recipes!",,http://twitter.com/food_system,False,None,en,55,02/04/14,http://twitter.com/glutenfreely/status/430804223006359552,Central Time (US & Canada),None,food_system,http://twitter.com/food_system/status/473086528760348673
celiac,473013901949280257,False,None,Coldstream Naturals - Gluten-free Tooth Creams and Mouthwashes: Special Offer for http://t.co/PJaeVcKcNe ... http://t.co/OsL2EAnBRR #celiac,184,6.8429,Playing in the kitchen,0,5,False,-14400,Healthy recipes for those with food sensitivities and allergies.,,http://twitter.com/allergyrecipes,False,None,en,0,06/01/14,http://twitter.com/allergyrecipes/status/473013901949280257,Eastern Time (US & Canada),None,allergyrecipes,http://twitter.com/AllergyRecipes/status/473013901949280257
celiac,473013902649729024,False,None,JoSef's Gluten Free Cookies: JoSef's Gluten Free is the result of a parent's quest to find great tasti... http://t.co/olXMVBdpDR #celiac,184,6.879373,Playing in the kitchen,0,5,False,-14400,Healthy recipes for those with food sensitivities and allergies.,,http://twitter.com/allergyrecipes,False,None,en,0,06/01/14,http://twitter.com/allergyrecipes/status/473013902649729024,Eastern Time (US & Canada),None,allergyrecipes,http://twitter.com/AllergyRecipes/status/473013902649729024
celiac,473013903278895104,False,None,Celiact Gluten-Free Diet Support: Do you follow a gluten-free diet but still suffer from low energy le... http://t.co/LsMxxCvcIq #celiac,184,6.862779,Playing in the kitchen,0,5,False,-14400,Healthy recipes for those with food sensitivities and allergies.,,http://twitter.com/allergyrecipes,False,None,en,0,06/01/14,http://twitter.com/allergyrecipes/status/473013903278895104,Eastern Time (US & Canada),None,allergyrecipes,http://twitter.com/AllergyRecipes/status/473013903278895104
glutenfree~coeliac~celiac,473023924432015360,False,None,We love this post ‘What you need to know about #glutenfree’ on a US blog site: http://t.co/9CBfOuakbB #coeliac #celiac,1434,8.401033,Yorkshire UK,2,27,False,7200,"Feel Free is the brand of GF Foods (York) Ltd and GlutenFree-Direct, creating delicious #glutenfree #wheatfree products.",,http://twitter.com/feelfreegf,False,None,en,93,06/01/14,http://twitter.com/feelfreegf/status/473023924432015360,Amsterdam,None,feelfreegf,http://twitter.com/FeelFreeGF/status/473023924432015360
glutenfree~celiac~coeliac,473024754132082688,False,None,"Dell’Ugo Gluten Free Penne Pasta: the UK’s first branded c  http://t.co/BZbIsxW3Hi
 #glutenfree #celiac #coeliac Please RT! [GFB Archive",3911,6.923281,"London, UK",1,71,False,3600,"The Gluten Free Blog is essential reading for anyone following a gluten free diet. It's full of tips, information, recipes, news and reviews.",,http://twitter.com/glufreebloguk,False,None,en,0,06/01/14,http://twitter.com/glufreebloguk/status/473024754132082688,London,None,glufreebloguk,http://twitter.com/GluFreeBlogUK/status/473024754132082688
glutenfree~celiac~coeliac,473024755520380928,False,None,"Lovin’ it. Yes, it is possible to be gluten free at McDonal  http://t.co/E4gCdHSN0F
 #glutenfree #celiac #coeliac Please RT! [GFB Archive]",3911,7.231211,"London, UK",0,71,False,3600,"The Gluten Free Blog is essential reading for anyone following a gluten free diet. It's full of tips, information, recipes, news and reviews.",,http://twitter.com/glufreebloguk,False,None,en,0,06/01/14,http://twitter.com/glufreebloguk/status/473024755520380928,London,None,glufreebloguk,http://twitter.com/GluFreeBlogUK/status/473024755520380928
travel~celiac,473026988072894464,False,None,“@gfglobetrotter: TY for your guest posts over the past 3 yrs @celiacdesi http://t.co/bQ7AWTc1zh #travel #celiac” my pleasure :),529,6.880934,"Mumbai, India ",0,13,False,-14400,"PhD Biochemical Engineering @WesternU | Celiac Desi is my passion | Perpetual thirst for knowledge re: Health, Celiac, Proteins, DSP",gfglobetrotter~celiacdesi,http://twitter.com/celiacdesi,True,None,en,482,06/01/14,http://twitter.com/celiacdesi/status/473026988072894464,Eastern Time (US & Canada),None,celiacdesi,http://twitter.com/celiacdesi/status/473026988072894464
glutenfree~coeliac~celiac,473029950992564225,False,None,RT @FeelFreeGF: We love this post ‘What you need to know about #glutenfree’ on a US blog site: http://t.co/9CBfOuakbB #coeliac #celiac,3562,7.3357596,"Devon,UK",2,59,False,7200,"I enjoy talking about and reviewing great food.#freshproduce #localfood #glutenfree foods are my passion, oh and as well as talking I very much enjoy eating!",FeelFreeGF,http://twitter.com/talkinggoodfood,True,None,en,62,06/01/14,http://twitter.com/talkinggoodfood/status/473029950992564225,Amsterdam,None,talkinggoodfood,http://twitter.com/TalkingGoodFood/status/473029950992564225
celiac~glutenfree,473040005284106242,False,None,Do you know which tests your child should have in their follow up appointments? Find out here: http://t.co/VwMHyYm3Pl #celiac #glutenfree,14828,12.414841,"Buckinghamshire, UK",4,223,False,3600,The UK's national charity for people with coeliac disease and dermatitis herpetiformis. Experts in #glutenfree http://t.co/knQtyD7S0C http://t.co/OZBgNOu8TL,,http://twitter.com/coeliac_uk,False,None,en,55,06/01/14,http://twitter.com/coeliac_uk/status/473040005284106242,London,None,coeliac_uk,http://twitter.com/Coeliac_UK/status/473040005284106242
celiac~glutenfree,473041577267720192,False,None,RT @Coeliac_UK: Do you know which tests your child should have in their follow up appointments? Find out here: http://t.co/VwMHyYm3Pl #celi…,3562,7.137777,"Devon,UK",4,59,False,7200,"I enjoy talking about and reviewing great food.#freshproduce #localfood #glutenfree foods are my passion, oh and as well as talking I very much enjoy eating!",Coeliac_UK,http://twitter.com/talkinggoodfood,True,None,en,62,06/01/14,http://twitter.com/talkinggoodfood/status/473041577267720192,Amsterdam,None,talkinggoodfood,http://twitter.com/TalkingGoodFood/status/473041577267720192
celiac~glutenfree,473041808050880514,False,None,RT @Coeliac_UK: Do you know which tests your child should have in their follow up appointments? Find out here: http://t.co/VwMHyYm3Pl #celi…,1673,7.137777,Great Britain,4,19,False,3600,• RAF Aerospace Battle Manager • Serious Injury & Rebuild 2013 • Competitive Marksman & Country Sportsman • Adopted Northumbrian • #ShootingForHeroes •,Coeliac_UK,http://twitter.com/rafscopie,False,None,en,349,06/01/14,http://twitter.com/rafscopie/status/473041808050880514,London,None,rafscopie,http://twitter.com/RAFscopie/status/473041808050880514
celiac~glutenfree,473049297639198720,False,None,RT @Coeliac_UK: Do you know which tests your child should have in their follow up appointments? Find out here: http://t.co/VwMHyYm3Pl #celi…,51,7.137777,Norfolk,4,1,False,None,Twitter feed for the Norfolk and Norwich coeliac group,Coeliac_UK,http://twitter.com/nncoeliac,False,None,en,0,06/01/14,http://twitter.com/nncoeliac/status/473049297639198720,None,None,nncoeliac,http://twitter.com/NNCoeliac/status/473049297639198720
glutenfree~celiac,473054098422370305,False,None,GFB Archives:: Vegan Gluten Free Pizza http://t.co/fxIDxyj2iA #glutenfree #celiac,488,7.6328926,Toronto,0,10,False,-14400,"A gluten free food & lifestyle blog. We swear, we're not bitches. :)
http://t.co/Sp4oYoK0RT",,http://twitter.com/gfreebitches,False,None,en,25,06/01/14,http://twitter.com/gfreebitches/status/473054098422370305,Eastern Time (US & Canada),None,gfreebitches,http://twitter.com/GFreeBitches/status/473054098422370305
celiac~coeliacdisease~celiacdisease~glutenfree,473054458083950593,False,None,Are you a #celiac snob? http://t.co/17uQqHbhz1 #coeliacdisease #celiacdisease #glutenfree,35,7.222506,"Bacchus Marsh, Victoria, Aust",0,0,False,None,Gluten free and passionate about sharing what I've learned from living with coeliac disease and other food intolerances.,,http://twitter.com/bread_or_alive,False,None,en,40,06/01/14,http://twitter.com/bread_or_alive/status/473054458083950593,None,None,bread_or_alive,http://twitter.com/Bread_or_Alive/status/473054458083950593
Glutenfree~Coeliac~Celiac,473067701846278145,False,None,#Glutenfree treats http://t.co/NLHsbJApfJ #Coeliac #Celiac,110,7.961434,Ireland,0,5,False,3600,Health news site that aims to bridge the gap between the worlds of mainstream & complementary medicine,,http://twitter.com/starbrydge,False,None,en,82,06/01/14,http://twitter.com/starbrydge/status/473067701846278145,Dublin,None,starbrydge,http://twitter.com/starbrydge/status/473067701846278145
glutenfree~healthy~celiac,473073066416017408,False,None,#glutenfree – fad or cure? An expat mum shares her experiences and a tasty grain-free recipe http://t.co/i6UuYUJbC3 #healthy #celiac,3457,7.9465814,Luxembourg,2,94,False,7200,Wort.lu - Luxembourg news in English,,http://twitter.com/wort_en,False,None,en-gb,35,06/01/14,http://twitter.com/wort_en/status/473073066416017408,Brussels,None,wort_en,http://twitter.com/Wort_EN/status/473073066416017408
DDW14~hpylori~celiac,473075413376565248,False,None,RT @TweetNASSCD: #DDW14 Dr.Blaser mentions change in gastric physiology with #hpylori eradication and relationship with possible increase i…,3742,9.881613,"Doylestown, PA ",4,150,False,-14400,"Registered #Dietitian #Nutritionist & Mom of 3 improving health w real food. Specialties: #Celiac, food allergies, IBS & FODMAP. I❤️shoes, roses, #BucksCounty",TweetNASSCD,http://twitter.com/kristiefinnan,True,None,en,27,06/01/14,http://twitter.com/kristiefinnan/status/473075413376565248,Eastern Time (US & Canada),None,kristiefinnan,http://twitter.com/KristieFinnan/status/473075413376565248
glutenfree~healthy~celiac,473076060582838272,False,None,RT @Wort_EN: #glutenfree – fad or cure? An expat mum shares her experiences and a tasty grain-free recipe http://t.co/i6UuYUJbC3 #healthy #…,52,6.464379,,2,0,False,None,,Wort_EN,http://twitter.com/sw26363,False,None,de,566,06/01/14,http://twitter.com/sw26363/status/473076060582838272,None,None,sw26363,http://twitter.com/SW26363/status/473076060582838272
glutenfree~gf~celiac,473084077466451968,False,None,This Pineapple Upside-down cake is #glutenfree and looks so good! http://t.co/HL1izcKLmQ @jackieourman #gf #celiac,251,7.8509903,"Orlando, Florida, US",1,6,False,-14400,Writer/Editor/Blogger/Affiliate with Gluten Problems on the mend ...,JackieOurman,http://twitter.com/glutenfrgo2lady,False,None,en,62,06/01/14,http://twitter.com/glutenfrgo2lady/status/473084077466451968,Eastern Time (US & Canada),None,glutenfrgo2lady,http://twitter.com/GlutenFrGo2Lady/status/473084077466451968
glutenfreepeopleproblems~celiac,473084439648800768,False,None,I just really want some yummy cheese raviolis #glutenfreepeopleproblems #celiac,34,7.628168,Wellesley,0,1,False,-10800,"Grad Student. Just living my gluten free eating, yoga going, fashion obsessing life",,http://twitter.com/kmmgallagher,True,None,en,62,06/01/14,http://twitter.com/kmmgallagher/status/473084439648800768,Atlantic Time (Canada),None,kmmgallagher,http://twitter.com/kmmgallagher/status/473084439648800768
glutenfree~healthy~celiac,473089257767448576,False,None,RT @Wort_EN: #glutenfree – fad or cure? An expat mum shares her experiences and a tasty grain-free recipe http://t.co/i6UuYUJbC3 #healthy #…,1043,6.464379,London,2,14,False,3600,"GLUTEN - WHEAT - SUGAR  FREE  BAKING
Gluten-free - guilt-free!
Sugar-free, sin-free!
Lets make health chic!",Wort_EN,http://twitter.com/sansbaking,False,None,en,1,06/01/14,http://twitter.com/sansbaking/status/473089257767448576,London,None,sansbaking,http://twitter.com/SansBaking/status/473089257767448576
glutenfree~celiac,473092008949465089,False,None,I am #glutenfree due to #celiac. Stop asking how is that diet working out for you. Celiac is real not a fad,118,7.5822477,"East Mountains, NM",0,1,False,None,"Apprentice Essentric Instructor Dynamic stretching and strengthening .  doTerra Essential oil consultant. Reiki practitioner
I love living life to its fullest!",,http://twitter.com/kimberlystretch,False,None,en,754,06/01/14,http://twitter.com/kimberlystretch/status/473092008949465089,None,None,kimberlystretch,http://twitter.com/kimberlystretch/status/473092008949465089
Celiac,473092966136184832,False,None,"Love your labels #Celiac ""@GlutenFreeLbls items like cutting boards, toaster, condiments, strainers help… http://t.co/RWDaMt6APg""",3742,10.356422,"Doylestown, PA ",0,150,False,-14400,"Registered #Dietitian #Nutritionist & Mom of 3 improving health w real food. Specialties: #Celiac, food allergies, IBS & FODMAP. I❤️shoes, roses, #BucksCounty",GlutenFreeLbls,http://twitter.com/kristiefinnan,True,None,en,27,06/01/14,http://twitter.com/kristiefinnan/status/473092966136184832,Eastern Time (US & Canada),None,kristiefinnan,http://twitter.com/KristieFinnan/status/473092966136184832
celiac~glutenfree~spirituality~cooking~foodallergy,473096493579382784,False,None,How #celiac disease helped me let go: http://t.co/ktOBfes1bR #glutenfree #spirituality #cooking #foodallergy,259,7.473897,,0,3,False,None,"An online community of healers, thinkers, activists, & lightworkers. Finding your light is about eating healthy, living green, & following your #spiritual path.",,http://twitter.com/_foundmylight_,False,None,en,138,06/01/14,http://twitter.com/_foundmylight_/status/473096493579382784,None,None,_foundmylight_,http://twitter.com/_FoundMyLight_/status/473096493579382784
