hashtags,retweeted,coordinates,content,followers_count,score,location,retweet_count,listed_count,favorited,utc_offset,description,user_mentions,trackback_author_url,geo_enabled,geo,lang,favourites_count,firstpost_date,url,time_zone,place,trackback_author_nick,trackback_permalink
SouthSudan~malnutrition~cholera~measles,False,None,Triple threat to #SouthSudan children: #malnutrition #cholera #measles. We're working to vaccinate &amp; treat. @kentpage http://t.co/X2Hh0QFsCK,1024,10.87583,,1,13,False,None,I Stand Before KINGS ||Passionate About Social Media ||The Guy behind the SCENE  || @UN New Media Specialist || Networker @Plus_SocialGood  || Member @BycLIVE,KentPage,http://twitter.com/iholuwatoby,False,None,en,393,06/01/14,http://twitter.com/iholuwatoby/status/472996358920871936,None,None,iholuwatoby,http://twitter.com/iHoluwatoby/status/472996358920871936
Cholera,False,None,#Cholera is back,135,8.871049,Johannesburg,0,2,False,-7200,"To big too fail, let's make the world a better place. Catch me if u can",,http://twitter.com/msandrophill,True,None,en,11,06/01/14,http://twitter.com/msandrophill/status/472996664954081280,Greenland,None,msandrophill,http://twitter.com/MsandroPhill/status/472996664954081280
cholera~SouthSudan,False,None,RT @UNOCHA: Track the #cholera outbreak in Juba #SouthSudan where 22 deaths have been reported http://t.co/L7rRMP0G2s http://t.co/Fu9utFAuVj,37,7.451928,here and there,16,0,False,-14400,building hope - relying on mercy,UNOCHA,http://twitter.com/cascadianexile,True,None,en,26,06/01/14,http://twitter.com/cascadianexile/status/473008879022784513,Eastern Time (US & Canada),None,cascadianexile,http://twitter.com/cascadianexile/status/473008879022784513
SouthSudan~malnutrition~cholera~measles,False,None,RT @iHoluwatoby: Triple threat to #SouthSudan children: #malnutrition #cholera #measles. We're working to vaccinate &amp; treat. @kentpage http…,4057,10.063228,"Berlin, Germany",1,157,False,7200,UN Education Free your mind! @UNGIFTraffick,iHoluwatoby~KentPage,http://twitter.com/nomoreslaves,False,None,en,10145,06/01/14,http://twitter.com/nomoreslaves/status/473011882669137921,Berlin,None,nomoreslaves,http://twitter.com/nomoreslaves/status/473011882669137921
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"#Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http://t.co/WSeTeHre1Q",11484,9.735732,Africa,8,205,False,10800,"Across Africa, UNICEF works to help children survive and thrive.",KentPage,http://twitter.com/unicefafrica,True,None,en,56,06/01/14,http://twitter.com/unicefafrica/status/473107702366085120,Nairobi,None,unicefafrica,http://twitter.com/UNICEFAfrica/status/473107702366085120
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",454,6.953254,NIGERIA,8,3,False,7200,Nationalist | Public Health Specialist | Writer | Sports Junkie | Good Governance | Peace and Global Heath Advocate | Global Citizen | Student of Knowledge|,UNICEFAfrica~KentPage,http://twitter.com/blinkingam,False,None,en,317,06/01/14,http://twitter.com/blinkingam/status/473107874252853249,Amsterdam,None,blinkingam,http://twitter.com/blinkingam/status/473107874252853249
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",2356,6.953254,Worldwide,8,32,False,-18000,Corporate Social Responsibility division of 'Widescope Media & Entertainment Network' || RTs are not Endorsements,UNICEFAfrica~KentPage,http://twitter.com/widescopecsr,False,None,en,1,06/01/14,http://twitter.com/widescopecsr/status/473107880141656064,Central Time (US & Canada),None,widescopecsr,http://twitter.com/WidescopeCSR/status/473107880141656064
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",253,6.953254,亞洲台灣島台北市內湖區星雲街77號2樓,8,11,False,28800,"A galaxy in the universe, the solar system planet born 38-year-old unmarried Asian humans, sex: female Yan net embankment in the Saha world.",UNICEFAfrica~KentPage,http://twitter.com/zihuejang,False,None,zh-tw,64103,06/01/14,http://twitter.com/zihuejang/status/473108206005141506,Beijing,None,zihuejang,http://twitter.com/zihuejang/status/473108206005141506
Cholera~UNICEF,False,None,"@UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage ... http://t.co/nlwUkj0HgF",915,7.1886673,"Currently at Dodoma, Tanzania.",0,21,False,None,"very simple, but not easy.",UNICEFAfrica~KentPage,http://twitter.com/ray_amrk,False,None,en,1113,06/01/14,http://twitter.com/ray_amrk/status/473109232192339968,None,None,ray_amrk,http://twitter.com/ray_amrk/status/473109232192339968
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",110,6.953254,,8,1,False,-21600,,UNICEFAfrica~KentPage,http://twitter.com/sofia1331,False,None,en,490,06/01/14,http://twitter.com/sofia1331/status/473114500779241473,Mountain Time (US & Canada),None,sofia1331,http://twitter.com/sofia1331/status/473114500779241473
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",56,6.953254,"Macon, Ga",8,4,False,-10800,Twitter of the Mercer University's very own chapter of Building Tomorrow.,UNICEFAfrica~KentPage,http://twitter.com/btmercer,True,None,en,18,06/01/14,http://twitter.com/btmercer/status/473119827625013248,Atlantic Time (Canada),None,btmercer,http://twitter.com/BTMercer/status/473119827625013248
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",3048,6.953254,,8,15,False,7200,Réaliste sans vergogne ● Stay Alert To Stay Alive ●  25/04/2012 • RIP MUM ♥,UNICEFAfrica~KentPage,http://twitter.com/musadiqz,True,None,en,11,06/01/14,http://twitter.com/musadiqz/status/473120257516003328,Amsterdam,None,musadiqz,http://twitter.com/MusadiqZ/status/473120257516003328
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",147,6.953254,"Rome, Italy",8,3,False,7200,,UNICEFAfrica~KentPage,http://twitter.com/taniazaynab,False,None,en,24,06/01/14,http://twitter.com/taniazaynab/status/473121268166696961,Rome,None,taniazaynab,http://twitter.com/taniazaynab/status/473121268166696961
MSF~cholera~SouthSudan,False,None,@rtenews photo gallery on #MSF's response to the serious #cholera oubreak in Juba #SouthSudan   http://t.co/Xtd6FfO58T,230,8.534947,South Sudan,2,13,False,10800,"MSF runs 22 projects in 9/10 South Sudan states, providing vital healthcare, nutrition support, surgery, vaccinations, + water & sanitation. Photo:Robin Meldrum",rtenews,http://twitter.com/msf_southsudan,False,None,en-gb,9,06/01/14,http://twitter.com/msf_southsudan/status/473128065992642560,Baghdad,None,msf_southsudan,http://twitter.com/MSF_SouthSudan/status/473128065992642560
man~cholera~diarrhoea~Exam~revision~university,False,None,Wanted to tell my #man how the #cholera toxin causes #diarrhoea. Don't know that does he really appreciate that. #Exam #revision #university,70,7.1843505,Brighton & Hove,0,2,False,-7200,"Cell- and molecular M.Sc. student, paintballer, Finn. Enthusiastic about microbiology, exercising, music, truth and languages.",,http://twitter.com/imperiabaccus,False,None,en,27,06/01/14,http://twitter.com/imperiabaccus/status/473138254657908736,Greenland,None,imperiabaccus,http://twitter.com/ImperiaBaccus/status/473138254657908736
cholera,False,None,Dr. Carroll on clean water and common sense in Haiti #cholera http://t.co/h0YfHATMbq,2507,12.447707,North Vancouver BC,2,154,False,-25200,"Retired college teacher and persistent writer (journalism, science fiction, fantasy, regional history, education). Also blogging on a range of subjects.",,http://twitter.com/crof,False,None,en,17,06/01/14,http://twitter.com/crof/status/473142641341644800,Pacific Time (US & Canada),None,crof,http://twitter.com/Crof/status/473142641341644800
cholera~Haiti,False,None,The fight for reparations from @UN for intro of #cholera to #Haiti -- case background in @ForeignAffairs : http://t.co/hVFN74n5ME…,2243,9.543953,"USA, Haiti",9,42,False,None,"Trainer. Developer. Tweet on Haiti, Leadership, Business and Social Media.  My tweets are repeated 4 times to reach all timezones.",UN~ForeignAffairs,http://twitter.com/dbienaime,False,None,en,1769,06/01/14,http://twitter.com/dbienaime/status/473149554909802496,None,None,dbienaime,http://twitter.com/dbienaime/status/473149554909802496
cholera~Haiti,False,None,RT @dbienaime: The fight for reparations from @UN for intro of #cholera to #Haiti -- case background in @ForeignAffairs : http://t.co/hVFN7…,479,6.699423,"Kingston, Jamaica",9,7,False,-14400,Broadcaster | PR Practitioner | Communicator | Social Media Admin | Toastmaster | Health Nut | Foodie | Grad Student |,dbienaime~UN~ForeignAffairs,http://twitter.com/kevtothec,False,None,en,724,06/01/14,http://twitter.com/kevtothec/status/473149650501783552,Eastern Time (US & Canada),None,kevtothec,http://twitter.com/kevtothec/status/473149650501783552
cholera,False,None,Cholera outbreak in South Sudan - update from WHO http://t.co/lDHHoKz1HQ #cholera,4062,12.596006,Institut Pasteur,5,118,False,-25200,"Microbes and Infection publishes articles in all fields of infection and immunity, covering the different levels of host-microbe interactions.",,http://twitter.com/microbesinfect,False,None,en,368,06/01/14,http://twitter.com/microbesinfect/status/473149699721945088,Pacific Time (US & Canada),None,microbesinfect,http://twitter.com/MicrobesInfect/status/473149699721945088
Epicentre~Shanchol~cholera,False,None,Pilot study on using an oral cholera vaccine as an outbreak intervention: http://t.co/XN1z5VBe2h #Epicentre #Shanchol #cholera,27,7.1127443,,0,0,False,None,Microbiology PhD student saving the world from bacterial diseases!,,http://twitter.com/rcitorik,True,None,en,42,06/01/14,http://twitter.com/rcitorik/status/473150032586084352,None,None,rcitorik,http://twitter.com/rcitorik/status/473150032586084352
