hashtags,retweeted,coordinates,content,followers_count,score,location,retweet_count,listed_count,favorited,utc_offset,description,user_mentions,trackback_author_url,geo_enabled,geo,lang,favourites_count,firstpost_date,url,time_zone,place,trackback_author_nick,trackback_permalink
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.52229,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/01/14,http://twitter.com/seqcomplete/status/472995967986589696,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/472995967986589696
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @kgapo @nursefriendly @JroPrimetime,681,7.8565793,,0,30,False,7200,,kgapo~nursefriendly~JroPrimetime,http://twitter.com/seqcomplete,False,None,en,44,06/01/14,http://twitter.com/seqcomplete/status/473007452905295872,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/473007452905295872
RareDiseaseDay,False,None,Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @Angelique_Long @savingcase http://t.co/dOWpIRyAK4,1214,8.297401,"New York, NY",1,39,False,-14400,"Providing competitive intelligence, consulting services, news, & Internet buzz on global #OrphanDrug, #RareDisease, & #BTD developments.",SeqComplete~Angelique_Long~savingcase,http://twitter.com/orphandruganau,False,None,en,587,06/01/14,http://twitter.com/orphandruganau/status/473085067477008384,Eastern Time (US & Canada),None,orphandruganau,http://twitter.com/orphandruganau/status/473085067477008384
RareDiseaseDay,False,None,RT @orphandruganau: Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @Angelique_Long @savingcase http://t.co/dOWpIRyAK4,803,7.2492146,,1,46,False,-18000,"Meet Case - he has #HunterSyndrome / #MPSII.

Find me on #raredisease, #orphandrug, #specialneeds, #ipaded, #IEP, #socpharm, #hcsm, #pharma. Living a miracle.",orphandruganau~SeqComplete~Angelique_Long~savingcase,http://twitter.com/savingcase,False,None,en,41,06/01/14,http://twitter.com/savingcase/status/473115720143097856,Central Time (US & Canada),None,savingcase,http://twitter.com/savingcase/status/473115720143097856
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.444749,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/02/14,http://twitter.com/seqcomplete/status/473358356279992320,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/473358356279992320
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @JustinKlein1 @iKimee_ @TweetImmune,681,8.300528,,1,30,False,7200,,JustinKlein1~iKimee_~TweetImmune,http://twitter.com/seqcomplete,False,None,en,44,06/02/14,http://twitter.com/seqcomplete/status/473369876330192896,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/473369876330192896
RareDiseaseDay,False,None,RT @SeqComplete: #RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @JustinKlein1 @iKimee_ @TweetImmune,686,7.291274,"Maryland, USA ",1,7,False,-14400,Do not judge my path if you have not walked my journey. Dreams do come true!,SeqComplete~JustinKlein1~iKimee_~TweetImmune,http://twitter.com/ikimee_,False,None,en,1482,06/02/14,http://twitter.com/ikimee_/status/473447607004856320,Eastern Time (US & Canada),None,ikimee_,http://twitter.com/iKimee_/status/473447607004856320
RareDiseaseDay,False,None,RT @dbarthjones: Ethical to remove rare/genetic diseases in De-identified Data to protect against re-identification? http://t.co/cGRxe9Kzv5…,1664,7.891779,,3,60,False,-14400,Columbia University HIV Epidemiologist. Advocating for #HIPAA Health Data #Privacy De-identification Policy.,,http://twitter.com/lmbrownlee1,False,None,en,763,02/28/14,http://twitter.com/dbarthjones/status/439383320393428992,Eastern Time (US & Canada),None,lmbrownlee1,http://twitter.com/lmbrownlee1/status/473582944078950401
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.451316,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/03/14,http://twitter.com/seqcomplete/status/473720743310950401,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/473720743310950401
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @orphandruganau @ALSETF @healourskin,681,8.974679,,2,30,False,7200,,orphandruganau~ALSETF~healourskin,http://twitter.com/seqcomplete,False,None,en,44,06/03/14,http://twitter.com/seqcomplete/status/473732230951755776,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/473732230951755776
