favorited,utc_offset,user_mentioned,description,hashtags,trackback_author_url,geo_enabled,geo,id,lang,favourites_count,firstpost_date,trackback_author_nick,url,retweeted,time_zone,coordinates,content,followers_count,score,place,location,trackback_permalink,retweet_count,listed_count
False,-14400,nhf_hemophilia,"Charity Champion. Good News Gal. Food Banker, Yelper, Traveler.  Mama to an awesome young lady and many silly pets.",HemophiliaWalk~bleedingdisorders,http://twitter.com/charityjen,True,None,473098638768766976,en,350,06/01/14,charityjen,http://twitter.com/charityjen/status/473098638768766976,False,Eastern Time (US & Canada),None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,1330,10.738077,None,"Raleigh, NC",http://twitter.com/CharityJen/status/473098638768766976,4,95
False,None,nhf_hemophilia,,HemophiliaWalk~bleedingdisorders,http://twitter.com/lopez09091960,True,None,473104476266835968,fr,15,06/01/14,lopez09091960,http://twitter.com/lopez09091960/status/473104476266835968,False,None,None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,70,7.521139,None,,http://twitter.com/Lopez09091960/status/473104476266835968,4,1
False,-21600,nhf_hemophilia,"Partner and Consumer Advocate for Reliance Factor of Texas, LLC and Reliance Factor of New Mexico, LLC",HemophiliaWalk~bleedingdisorders~hemophilia,http://twitter.com/flgprohemo,False,None,473113409207021568,en,46,06/01/14,flgprohemo,http://twitter.com/flgprohemo/status/473113409207021568,False,Mountain Time (US & Canada),None,RT @NHF_Hemophilia: We're walking in NYC at the NYC #HemophiliaWalk  #bleedingdisorders #hemophilia http://t.co/bTzRl7uwKO,32,7.543497,None,,http://twitter.com/FLGprohemo/status/473113409207021568,2,0
False,-21600,nhf_hemophilia,"Partner and Consumer Advocate for Reliance Factor of Texas, LLC and Reliance Factor of New Mexico, LLC",HemophiliaWalk~bleedingdisorders,http://twitter.com/flgprohemo,False,None,473113505751519232,en,46,06/01/14,flgprohemo,http://twitter.com/flgprohemo/status/473113505751519232,False,Mountain Time (US & Canada),None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,32,7.521139,None,,http://twitter.com/FLGprohemo/status/473113505751519232,4,0
False,None,nhf_hemophilia,,HemophiliaWalk~bleedingdisorders~hemophilia,http://twitter.com/lopez09091960,True,None,473121531300970496,fr,15,06/01/14,lopez09091960,http://twitter.com/lopez09091960/status/473121531300970496,False,None,None,RT @NHF_Hemophilia: We're walking in NYC at the NYC #HemophiliaWalk  #bleedingdisorders #hemophilia http://t.co/bTzRl7uwKO,70,7.543497,None,,http://twitter.com/Lopez09091960/status/473121531300970496,2,1
False,None,nhf_hemophilia,,HemophiliaWalk~bleedingdisorders,http://twitter.com/lacorte_lacorte,False,None,473435914195066881,en,0,06/02/14,lacorte_lacorte,http://twitter.com/lacorte_lacorte/status/473435914195066881,False,None,None,RT @NHF_Hemophilia: Melissa Penn Stengal welcomes everyone to the 9th annual NYC #HemophiliaWalk #bleedingdisorders http://t.co/sCRI5vXfBa,3,7.3912416,None,,http://twitter.com/lacorte_lacorte/status/473435914195066881,1,0
False,None,nhf_hemophilia,,HemophiliaWalk~bleedingdisorders,http://twitter.com/lacorte_lacorte,False,None,473435952656822272,en,0,06/02/14,lacorte_lacorte,http://twitter.com/lacorte_lacorte/status/473435952656822272,False,None,None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,3,7.521139,None,,http://twitter.com/lacorte_lacorte/status/473435952656822272,4,0
False,-25200,sonnygray2,"Hemophilia Foundation of Northern California - non-profit, volunteer-run organization serving the needs of people with hemophilia and related bleeding disorders",DadsInAction~bleedingdisorders,http://twitter.com/hemofoundation,False,None,473556561294819328,en,43,06/02/14,hemofoundation,http://twitter.com/hemofoundation/status/473556561294819328,False,Pacific Time (US & Canada),None,Our #DadsInAction #bleedingdisorders group had a great time seeing @SonnyGray2 &amp; the @Athletics shut down the Angels! Thanks @hemophiliafed!,225,7.2027545,None,"Emeryville, CA",http://twitter.com/HemoFoundation/status/473556561294819328,0,2
False,-25200,athletics,"Hemophilia Foundation of Northern California - non-profit, volunteer-run organization serving the needs of people with hemophilia and related bleeding disorders",DadsInAction~bleedingdisorders,http://twitter.com/hemofoundation,False,None,473556561294819328,en,43,06/02/14,hemofoundation,http://twitter.com/hemofoundation/status/473556561294819328,False,Pacific Time (US & Canada),None,Our #DadsInAction #bleedingdisorders group had a great time seeing @SonnyGray2 &amp; the @Athletics shut down the Angels! Thanks @hemophiliafed!,225,7.2027545,None,"Emeryville, CA",http://twitter.com/HemoFoundation/status/473556561294819328,0,2
False,-25200,hemophiliafed,"Hemophilia Foundation of Northern California - non-profit, volunteer-run organization serving the needs of people with hemophilia and related bleeding disorders",DadsInAction~bleedingdisorders,http://twitter.com/hemofoundation,False,None,473556561294819328,en,43,06/02/14,hemofoundation,http://twitter.com/hemofoundation/status/473556561294819328,False,Pacific Time (US & Canada),None,Our #DadsInAction #bleedingdisorders group had a great time seeing @SonnyGray2 &amp; the @Athletics shut down the Angels! Thanks @hemophiliafed!,225,7.2027545,None,"Emeryville, CA",http://twitter.com/HemoFoundation/status/473556561294819328,0,2
