user_lang,user_description,hashtags,user_time_zone_placename,user_friends_count,user_utc_offset,id,sentiment,user_screen_name,user_location,user_favourites_count,user_verified,content,score,tweet_favorite_count,user_name,tweet_retweet_count,user_followers_count,user_time_zone_coordinates,user_mentions,trackback_author_url,short_file_name,user_location_coordinates,file_counter,tweet_geo,firstpost_date,user_listed_count,url,tweet_retweeted,user_geo_enabled,user_time_zone,tweet_favorited,user_location_placename,trackback_author_nick,tweet_place,trackback_permalink,tweet_coordinates,tweet_in_reply_to_screen_name,user_statuses_count,tweet_timestamp
en,"CEO/Founder Let Life Happen, 2x #BreastCancer / #DV Survivor, #PatientAdvocate, Award winning blogger, About com BC Expert, Founder @whenBChappens",bloodcancer~Imburvica~lymphoma,United States,10855,-25200,418728368637362176,2,letlifehappen,Los Angeles,88,False,"FDA Approves Imbruvica for Mantle Cell Lymphoma http://t.co/ybnmaAVCPJ
 #bloodcancer #Imburvica #lymphoma",10.737158,0,Barbara Jacoby ,1,15491,"(37.09024, -95.712891)",,http://twitter.com/letlifehappen,Jan to May\Blood\Tweets_BloodCancer.csv,"(34.0522342, -118.2436849)",2,None,01/02/14,633,http://twitter.com/letlifehappen/status/418728368637362176,False,False,Pacific Time (US & Canada),False,"Los Angeles, CA, USA",letlifehappen,None,http://twitter.com/letlifehappen/status/418728368637362176,None,None,56776,1388638800.0
en,"MPNRF funds innovative, accountable research that produces results for patients with polycythemia vera, essential thrombocythemia and myelofibrosis.",constantcontact~bloodcancer~myeloproliferative,"Time Lab, Rochester, NY 14607, USA",174,-18000,418777724220899328,0,MPN_RF,"Chicago, IL",29,False,Breaking news on MPNs from ASH's Annual Meeting #constantcontact #bloodcancer #myeloproliferative http://t.co/jFPgLSFe7Y,8.239763,0,MPNRF,1,348,"(43.1527442, -77.60134339999999)",,http://twitter.com/mpn_rf,Jan to May\Blood\Tweets_BloodCancer.csv,"(41.8781136, -87.6297982)",2,None,01/02/14,19,http://twitter.com/mpn_rf/status/418777724220899328,False,True,Central Time (US & Canada),False,"Chicago, IL, USA",mpn_rf,None,http://twitter.com/MPN_RF/status/418777724220899328,None,None,570,1388638800.0
en,School & Youth Programs Canada is an in-school fundraising campaign for the Leukemia & Lymphoma Society of Canada.       Email schoolandyouthcanada@lls.org,bloodcancer~cures~Canada~SY,"Nenjiang River, China",608,None,418803579307036672,3,SchoolYouthCan,Canada,47,False,Back to the grind in #2014. Looking forward to a great year with our schools and students raising money for #bloodcancer #cures #Canada #SY,8.319404,0,School&Youth Canada,1,135,"(48.2575848, 124.7792302)",,http://twitter.com/schoolyouthcan,Jan to May\Blood\Tweets_BloodCancer.csv,"(56.130366, -106.346771)",2,None,01/02/14,6,http://twitter.com/schoolyouthcan/status/418803579307036672,False,False,None,False,Canada,schoolyouthcan,None,http://twitter.com/SchoolYouthCan/status/418803579307036672,None,None,83,1388638800.0
en,Campaign Coordinator for Team in Training in Atlantic Canada. Raising funds for the LLSC. Views expressed are not that of my employer.,bloodcancer~cures~Canada~SY,"Nenjiang River, China",200,None,418853262482485248,3,TNT_Kris,"Halifax NS, Canada",153,False,RT @SchoolYouthCan: Back to the grind in #2014. Looking forward to a great year with our schools and students raising money for #bloodcance…,7.321316,0,Kris Osmond,1,145,"(48.2575848, 124.7792302)",SchoolYouthCan,http://twitter.com/tnt_kris,Jan to May\Blood\Tweets_BloodCancer.csv,"(44.6488625, -63.5753196)",2,None,01/02/14,4,http://twitter.com/tnt_kris/status/418853262482485248,False,True,None,False,"Halifax, NS, Canada",tnt_kris,None,http://twitter.com/TNT_Kris/status/418853262482485248,None,None,705,1388638800.0
en,The Robert H. Lurie Comprehensive Cancer Center of Northwestern University is committed to being a national leader in the battle to overcome cancer.,bloodcancer,"Time Lab, Rochester, NY 14607, USA",2273,-18000,418121179077935104,1,LurieCancer,"Chicago, IL",3138,False,RT @LurieCancer: Here's a New Year's resolution we can keep! A simple cheek swab is all it takes to join @BeTheMatch Marrow Donor Registry.…,11.57742,4,Lurie Cancer Center,16,2164,"(43.1527442, -77.60134339999999)",BeTheMatch,http://twitter.com/dagmarbleasdale,Jan to May\Blood\Tweets_BloodCancer.csv,"(41.8781136, -87.6297982)",2,None,12/31/13,88,http://twitter.com/luriecancer/status/418121179077935104,False,True,Central Time (US & Canada),False,"Chicago, IL, USA",dagmarbleasdale,None,http://twitter.com/DagmarBleasdale/status/418861798738374656,None,None,6078,1388466000.0
en,Hardwired to love all things.,constantcontact~bloodcancer~myeloproliferative,,221,-18000,418954296634671104,0,collmegcur,"South Shore, MA ",28,False,RT @MPN_RF: Breaking news on MPNs from ASH's Annual Meeting #constantcontact #bloodcancer #myeloproliferative http://t.co/jFPgLSFe7Y,7.2362924,0,Colleen Curley,1,66,,MPN_RF,http://twitter.com/collmegcur,Jan to May\Blood\Tweets_BloodCancer.csv,,2,None,01/03/14,0,http://twitter.com/collmegcur/status/418954296634671104,False,True,Quito,False,,collmegcur,None,http://twitter.com/collmegcur/status/418954296634671104,None,None,327,1388725200.0
en,"i haven't been everywhere, but it's on my list",lymphoma~fightforacure~leukemia~bloodcancer~strong,,384,-21600,419170592349519872,0,nicolettebardos,,5948,False,💪❤️ #lymphoma #fightforacure #leukemia #bloodcancer #strong http://t.co/zHdh2sEeZp,7.5219502,2,nicolette bardos,0,605,,,http://twitter.com/nicolettebardos,Jan to May\Blood\Tweets_BloodCancer.csv,,2,None,01/03/14,0,http://twitter.com/nicolettebardos/status/419170592349519872,False,True,Mountain Time (US & Canada),False,,nicolettebardos,None,http://twitter.com/nicolettebardos/status/419170592349519872,None,None,10452,1388725200.0
en,"We are dedicated to ensuring that anyone affected by blood cancer receives the right information, advice & support. Call the Care Line for support 08088 010 444",bloodcancer,,1273,3600,419180709790875648,5,LeukaemiaCAREuk,UK,799,False,Looking to put your road bike to good use? Sign up to @RideLondon and pedal to support those with a #bloodcancer http://t.co/2Ox1El0jWv,13.041874,1,Leukaemia CARE,6,1872,,RideLondon,http://twitter.com/leukaemiacareuk,Jan to May\Blood\Tweets_BloodCancer.csv,,2,None,01/03/14,42,http://twitter.com/leukaemiacareuk/status/419180709790875648,False,False,Dublin,False,,leukaemiacareuk,None,http://twitter.com/LeukaemiaCAREuk/status/419180709790875648,None,None,3754,1388725200.0
en,"Comms Manager at national charity. Love sweets of all kinds, fresh bedding and the gym. One of the lads. Views are my own.",bloodcancer,,1963,None,419180790258610176,5,KaylaMaryon,Worcestershire,664,False,RT @LeukaemiaCAREuk: Looking to put your road bike to good use? Sign up to @RideLondon and pedal to support those with a #bloodcancer http:…,10.555347,0,Kayla Maryon,6,1352,,LeukaemiaCAREuk~RideLondon,http://twitter.com/kaylamaryon,Jan to May\Blood\Tweets_BloodCancer.csv,,2,None,01/03/14,24,http://twitter.com/kaylamaryon/status/419180790258610176,False,True,None,False,,kaylamaryon,None,http://twitter.com/KaylaMaryon/status/419180790258610176,None,None,7463,1388725200.0
en,"Director of Outstream Consulting, ICT Mark assessor,   Naace BoM; helping others gain traction with ICT, establishing meaningful vision & remarkable outcomes.",bloodcancer,,287,3600,419196681725681664,5,cloudthirtynine,London,19,False,RT @LeukaemiaCAREuk: Looking to put your road bike to good use? Sign up to @RideLondon and pedal to support those with a #bloodcancer http:…,7.3336077,0,Allison Allen,6,188,,LeukaemiaCAREuk~RideLondon,http://twitter.com/cloudthirtynine,Jan to May\Blood\Tweets_BloodCancer.csv,,2,None,01/03/14,4,http://twitter.com/cloudthirtynine/status/419196681725681664,False,False,London,False,,cloudthirtynine,None,http://twitter.com/cloudthirtynine/status/419196681725681664,None,None,1643,1388725200.0
